case_id,duration_days,n_events,crop,state
ERNAKULAM_Teak,199,3,Teak,KERALA
ERNAKULAM_Tomato,300,18,Tomato,KERALA
ERNAKULAM_Turmeric,0,1,Turmeric,KERALA
IDUKKI_Acid Lime,0,1,Acid Lime,KERALA
IDUKKI_Amaranthus/Grain Amaranthus,54,2,Amaranthus/Grain Amaranthus,KERALA
IDUKKI_Amarphophallus (Surankand/Elephant Foot Yam),0,1,Amarphophallus (Surankand/Elephant Foot Yam),KERALA
IDUKKI_Apple,21,2,Apple,KERALA
IDUKKI_Apricot,0,1,Apricot,KERALA
IDUKKI_Arecanut,290,10,Arecanut,KERALA
IDUKKI_Avacado,297,5,Avacado,KERALA
IDUKKI_Bail,0,1,Bail,KERALA
IDUKKI_Banana,341,22,Banana,KERALA
IDUKKI_Beans,136,2,Beans,KERALA
IDUKKI_Betel Vine,0,1,Betel Vine,KERALA
IDUKKI_Bhindi(Okra/Ladysfinger),246,7,Bhindi(Okra/Ladysfinger),KERALA
IDUKKI_Bitter Gourd,347,7,Bitter Gourd,KERALA
IDUKKI_Brinjal,0,1,Brinjal,KERALA
IDUKKI_Cabbage,0,2,Cabbage,KERALA
IDUKKI_Cardamom,342,77,Cardamom,KERALA
IDUKKI_Cashew,3,3,Cashew,KERALA
IDUKKI_Chillies,195,5,Chillies,KERALA
IDUKKI_Clove,0,2,Clove,KERALA
IDUKKI_Cocoa,268,18,Cocoa,KERALA
IDUKKI_Coconut,300,26,Coconut,KERALA
IDUKKI_Coffee,0,1,Coffee,KERALA
IDUKKI_Cowpea (Vegetable),350,14,Cowpea (Vegetable),KERALA
IDUKKI_Cucumber,154,4,Cucumber,KERALA
IDUKKI_Dog,0,2,Dog,KERALA
IDUKKI_Drum Stick,0,1,Drum Stick,KERALA
IDUKKI_Ginger,256,9,Ginger,KERALA
IDUKKI_Grape,0,1,Grape,KERALA
IDUKKI_Indian Bean (Vegetable),0,1,Indian Bean (Vegetable),KERALA
IDUKKI_Ivy Gourd,99,3,Ivy Gourd,KERALA
IDUKKI_Jack Fruit,14,2,Jack Fruit,KERALA
IDUKKI_Large Cardamom,68,4,Large Cardamom,KERALA
IDUKKI_Lemon,0,1,Lemon,KERALA
IDUKKI_Mango,254,10,Mango,KERALA
IDUKKI_Mentha,0,1,Mentha,KERALA
IDUKKI_Nutmeg,337,19,Nutmeg,KERALA
IDUKKI_POULTRY  FARM,0,1,POULTRY  FARM,KERALA
IDUKKI_Paddy (Dhan),0,1,Paddy (Dhan),KERALA
IDUKKI_Papaya,143,3,Papaya,KERALA
IDUKKI_Pepper,343,19,Pepper,KERALA
IDUKKI_Pomegranate,62,3,Pomegranate,KERALA
IDUKKI_Rubber,243,8,Rubber,KERALA
IDUKKI_Sandal Wood,68,2,Sandal Wood,KERALA
IDUKKI_Sapota,0,1,Sapota,KERALA
IDUKKI_Tapioca (Cassava),296,9,Tapioca (Cassava),KERALA
IDUKKI_Tomato,81,2,Tomato,KERALA
IDUKKI_Vanilla,0,1,Vanilla,KERALA
KANNUR_Acid Lime,0,1,Acid Lime,KERALA
KANNUR_Amaranthus/Grain Amaranthus,301,6,Amaranthus/Grain Amaranthus,KERALA
KANNUR_Arecanut,356,74,Arecanut,KERALA
KANNUR_Ash Gourd (Petha),0,2,Ash Gourd (Petha),KERALA
KANNUR_Avacado,32,2,Avacado,KERALA
KANNUR_Banana,311,35,Banana,KERALA
KANNUR_Betel Vine,0,1,Betel Vine,KERALA
KANNUR_Bhindi(Okra/Ladysfinger),311,6,Bhindi(Okra/Ladysfinger),KERALA
KANNUR_Bitter Gourd,307,10,Bitter Gourd,KERALA
KANNUR_Bottle Gourd,303,2,Bottle Gourd,KERALA
"KANNUR_Bovine(Cow,Buffalo)",0,2,"Bovine(Cow,Buffalo)",KERALA
KANNUR_Brinjal,320,9,Brinjal,KERALA
KANNUR_Cardamom,0,1,Cardamom,KERALA
KANNUR_Cashew,237,8,Cashew,KERALA
KANNUR_Chillies,338,14,Chillies,KERALA
KANNUR_Clove,0,1,Clove,KERALA
KANNUR_Cocoa,302,11,Cocoa,KERALA
KANNUR_Coconut,357,101,Coconut,KERALA
KANNUR_Coffee,0,1,Coffee,KERALA
"KANNUR_Colocasia (Arvi, Arbi)",0,1,"Colocasia (Arvi, Arbi)",KERALA
KANNUR_Cowpea (Vegetable),248,10,Cowpea (Vegetable),KERALA
KANNUR_Cucumber,211,15,Cucumber,KERALA
KANNUR_Curry Leaf,7,2,Curry Leaf,KERALA
KANNUR_Dolichos Bean,0,1,Dolichos Bean,KERALA
KANNUR_Fig,0,1,Fig,KERALA
KANNUR_Ginger,264,6,Ginger,KERALA
KANNUR_Goat,0,1,Goat,KERALA
KANNUR_Grape,0,1,Grape,KERALA
KANNUR_Guava,0,1,Guava,KERALA
KANNUR_Guineafowl,0,1,Guineafowl,KERALA
KANNUR_Hibiscus (Gurhal),0,2,Hibiscus (Gurhal),KERALA
KANNUR_Ivy Gourd,203,5,Ivy Gourd,KERALA
KANNUR_Jack Fruit,295,9,Jack Fruit,KERALA
KANNUR_Lemon,284,3,Lemon,KERALA
KANNUR_Mango,290,26,Mango,KERALA
KANNUR_Marigold,0,3,Marigold,KERALA
KANNUR_Mosambi,0,1,Mosambi,KERALA
KANNUR_Nutmeg,161,7,Nutmeg,KERALA
KANNUR_Oil palm,0,1,Oil palm,KERALA
KANNUR_Paddy (Dhan),324,8,Paddy (Dhan),KERALA
KANNUR_Papaya,168,11,Papaya,KERALA
KANNUR_Passion Fruit,0,1,Passion Fruit,KERALA
KANNUR_Pepper,318,73,Pepper,KERALA
KANNUR_Pineapple,0,1,Pineapple,KERALA
KANNUR_Ridge Gourd,0,1,Ridge Gourd,KERALA
KANNUR_Rubber,212,15,Rubber,KERALA
